avg_test_reward,MAE_speed,RMSE_speed,jerk_mean,jerk_var,in_range_pct,Training Time,Corr Coeff,chunk_size,learning_rate,batch_size,gamma,tau,total_timesteps,timestamp,
-11.87974414,2.539453887,3.320927066,-0.004945694,83.88197621,89.08333333,51.73,0.694533194,100,0.0003,256,0.95,0.005,100000,191538,
-10.1617236,2.620059976,3.40696038,-0.004240749,66.1392885,89,52.25,0.684852858,50,0.0003,512,0.99,0.002,100000,185110,
-10.24969872,2.537152883,3.309583045,-0.002422441,67.29776892,88.91666667,52.2,0.690245179,50,0.0003,512,0.99,0.002,100000,190022,
-20.90622099,2.482621809,3.248626564,-0.004063962,173.2622454,88.5,50.93,0.708139515,400,0.0003,256,0.99,0.002,100000,194605,
-9.523382331,2.533123504,3.286240034,-0.00463183,58.46729053,88,51.53,0.692532228,400,0.0003,512,0.95,0.002,100000,195942,
-14.26466004,2.52832255,3.276744556,-0.003197437,106.7013354,87.16666667,51.89,0.692070588,100,0.0003,512,0.99,0.005,100000,192920,
-5.455509325,2.592340162,3.386234186,0.000609314,19.1861537,86.58333333,52.01,0.70673724,100,0.0003,512,0.95,0.002,100000,193223,
-20.44048606,2.392707425,3.124404205,-0.00171564,165.1363762,86.5,51.26,0.696964646,400,0.0003,256,0.95,0.002,100000,195037,
-9.027125649,2.608508503,3.38435761,-0.002567659,54.33811959,85.58333333,52.38,0.695737063,50,0.0003,512,0.95,0.005,100000,185718,
-27.01403658,2.620277052,3.415418722,0.005002165,234.3430768,85.5,51.89,0.72854754,100,0.0003,512,0.95,0.005,100000,192445,
-9.080745537,2.605579196,3.362578856,0.000164406,54.50164676,84.16666667,51.62,0.688163717,100,0.0003,256,0.95,0.005,100000,190630,
-10.75064862,2.606111324,3.413822692,-0.001074901,70.45459973,82.75,52.32,0.69841954,50,0.0003,512,0.99,0.005,100000,185242,
-20.84774788,2.686851579,3.515765486,0.000307006,169.5792419,82.25,52.44,0.662685385,50,0.0003,512,0.99,0.005,100000,190154,
-11.67493628,2.593856342,3.376344027,-0.003400803,80.59273013,82.16666667,52.09,0.678018783,400,0.0003,512,0.95,0.002,100000,200849,
-21.5284102,2.603072213,3.350597934,-0.001484346,177.2064227,82.16666667,51.66,0.689262311,100,0.0003,512,0.99,0.005,100000,193829,
-8.378677913,2.666490072,3.458323768,-0.001725285,47.74049521,81.33333333,51.68,0.681814327,50,0.0003,256,0.95,0.002,100000,183728,
-9.310957286,2.492699919,3.249025219,-0.001410853,57.13230891,81,51.17,0.703090688,400,0.0003,256,0.95,0.002,100000,194132,
-25.52766912,2.670218187,3.443722191,-0.003163158,218.1149821,76.16666667,51.56,0.68180549,50,0.0003,256,0.95,0.01,100000,184030,
-9.72511118,2.624309267,3.413641625,0.002013451,58.70164491,76,53,0.722394392,50,0.0003,256,0.95,0.005,100000,182948,
-25.68342258,2.594389643,3.391130058,0.000421639,220.0073352,74,51.6,0.69937663,100,0.0003,256,0.99,0.005,100000,191104,
-9.596093675,2.731952908,3.507735089,-0.002430245,57.51380504,72.25,52.05,0.656539239,50,0.0003,512,0.95,0.002,100000,184635,
-13.32646775,2.829397935,3.652728509,0.000963559,87.7719233,72.25,52.21,0.682013877,50,0.0003,512,0.95,0.005,100000,184807,
-17.40026967,2.495234424,3.238856575,-0.003697495,129.469619,71.41666667,51.01,0.672351275,400,0.0003,256,0.99,0.002,100000,195510,
-11.13732826,2.773943836,3.541100422,0.005756593,69.54745486,70.83333333,51.56,0.733403236,50,0.0003,256,0.99,0.005,100000,184333,
-12.86050506,2.725459093,3.56926536,0.000611871,85.95377682,70.66666667,51.71,0.713191931,100,0.0003,512,0.99,0.01,100000,194001,
-24.03453231,2.523064099,3.272597353,-0.008624288,200.8373974,70.41666667,51.18,0.693874597,400,0.0003,256,0.99,0.005,100000,194736,
-6.250253898,2.756738391,3.52172051,-0.001485928,22.97807756,70.33333333,51.64,0.653217129,100,0.0003,512,0.99,0.002,100000,192749,
-10.0921745,2.807712844,3.63383411,-0.009213938,59.98339193,69.91666667,52.14,0.668018473,50,0.0003,512,0.95,0.002,100000,185546,
-11.44907672,2.760282253,3.545598261,-0.0003633,75.16851002,69,52.5,0.684630515,50,0.0003,512,0.95,0.01,100000,185850,
-11.98386377,2.628581336,3.424649738,-0.000820075,80.84337399,68.75,51.87,0.682760337,100,0.0003,256,0.95,0.002,100000,190458,
-8.886108022,2.657495002,3.475491713,-0.000909369,50.206042,68.5,52.21,0.690791369,50,0.0003,256,0.95,0.002,100000,182815,
-11.38856246,2.66543597,3.463573069,0.001647637,74.06677008,68.5,51.74,0.700592783,50,0.0003,256,0.95,0.01,100000,183122,
-11.03107629,2.65101545,3.471671005,-0.001383886,70.39348033,68.25,51.5,0.693530734,100,0.0003,256,0.99,0.002,100000,190932,
-6.628890471,2.610656848,3.399027217,-0.001455099,26.9236226,68.08333333,52.08,0.696115522,100,0.0003,512,0.95,0.002,100000,192313,
-9.375489444,2.748527785,3.516428119,-0.002103281,51.86893836,68,51.31,0.653429391,100,0.0003,256,0.99,0.002,100000,191840,
-24.26437978,2.781219956,3.534195446,0.004158364,197.5058159,66.08333333,51.69,0.707485488,100,0.0003,512,0.99,0.01,100000,193052,
-12.87949382,2.717788809,3.507310656,-0.004838967,87.80242527,65.33333333,51.26,0.678141927,100,0.0003,256,0.95,0.002,100000,191407,
-9.685610077,2.75708445,3.516210335,-0.000368608,57.85687944,63,51.66,0.648236066,50,0.0003,256,0.99,0.002,100000,184201,
-12.04344119,2.756727275,3.561591094,0.006172442,74.19720962,62.58333333,51.72,0.717160972,50,0.0003,256,0.99,0.005,100000,183425,
-14.29368793,2.75373634,3.517606221,0.001839648,93.58755511,62,52.57,0.676694527,100,0.0003,512,0.95,0.01,100000,192616,
-22.91104872,2.857476634,3.583254637,-0.000636895,178.3080275,61.58333333,51.64,0.629040249,400,0.0003,512,0.99,0.005,100000,200546,
-12.00899553,2.640528328,3.381639587,-0.004706128,71.51883044,60.75,53.04,0.679244536,50,0.0003,512,0.99,0.01,100000,190326,
-12.21186777,2.671711734,3.424443181,-0.003832418,77.77503211,60.75,51.35,0.689487874,400,0.0003,512,0.99,0.002,100000,200416,
-32.30955253,2.555730216,3.30197783,0.002333411,275.5930109,60.66666667,51.49,0.694632559,100,0.0003,256,0.99,0.005,100000,192011,
-7.8576127,2.812902195,3.562460639,0.00057471,36.01666005,59.25,51.88,0.663244705,100,0.0003,512,0.95,0.005,100000,193355,
-19.56727217,2.556663474,3.282437728,-0.003662066,146.4031566,57.25,51.52,0.689162697,100,0.0003,256,0.95,0.01,100000,190801,
-7.471467501,2.813115312,3.601556656,-0.001956407,33.74073315,56.83333333,51.78,0.669140147,100,0.0003,512,0.99,0.002,100000,193658,
-11.02361326,2.552362548,3.284121568,0.001225708,54.69782383,56.25,51.03,0.683254494,400,0.0003,256,0.99,0.005,100000,195641,
-39.69943122,2.328064851,3.037738737,-0.004895105,343.7130026,55.66666667,50.85,0.699107184,400,0.0003,256,0.95,0.005,100000,195208,
-14.6861822,3.012672228,3.818921223,0.004722301,95.76823621,55.66666667,51.67,0.637287354,50,0.0003,256,0.95,0.005,100000,183859,
-33.17589739,2.751542548,3.484614022,-0.01328124,276.5111606,55.33333333,51.35,0.672680294,100,0.0003,256,0.99,0.01,100000,191236,
-59.63566507,2.62611291,3.339738477,-0.016590696,537.7269122,55,51.35,0.668607079,100,0.0003,256,0.99,0.01,100000,192142,
-13.96504806,2.939350181,3.675196141,0.009916067,91.59326266,53.66666667,51.59,0.6649698,400,0.0003,512,0.99,0.005,100000,201454,
-39.76737429,2.457283616,3.168108253,-0.015957808,341.9934101,52.91666667,51.2,0.687387106,400,0.0003,256,0.95,0.01,100000,194434,
-7.271516421,2.846247597,3.620452033,0.000381257,30.85705911,52.91666667,51.63,0.634307084,50,0.0003,256,0.99,0.002,100000,183254,
-18.6473423,3.020910864,3.847085483,-0.005123242,136.9472041,51,51.99,0.66460909,50,0.0003,512,0.95,0.01,100000,184939,
-33.69731095,2.45255308,3.156772295,-0.007686265,272.8529139,49.41666667,51.22,0.675229458,400,0.0003,256,0.95,0.005,100000,194303,
-13.59874203,2.906671386,3.637702264,-0.002169288,89.55336208,49.25,51.61,0.666395869,400,0.0003,512,0.95,0.005,100000,200113,
-19.70385726,2.422783301,3.124810376,-0.0036728,123.6154784,43.5,51.29,0.679374878,400,0.0003,512,0.95,0.005,100000,201021,
-17.86145508,3.195667243,3.961323364,0.003334622,118.896066,37.91666667,51.6,0.632049056,100,0.0003,512,0.95,0.01,100000,193526,
-22.43768262,2.914264917,3.614362403,-0.000624668,88.93562643,31.33333333,51.53,0.574212215,400,0.0003,512,0.95,0.01,100000,201152,
-31.05195121,2.676758493,3.369299719,-0.005323998,108.6300395,0.75,51.05,0.607832673,400,0.0003,256,0.95,0.01,100000,195339,
-78.35839867,2.743104317,3.474006398,-0.006304207,185.2111763,0.75,51.42,0.574294138,400,0.0003,512,0.95,0.01,100000,200244,
-43.30235031,2.837855735,3.514777696,-0.002371335,190.3022326,0.75,50.95,0.566982933,400,0.0003,256,0.99,0.01,100000,194907,
-42.21874079,2.904359612,3.595243462,-0.006437536,95.73426594,0.75,51.3,0.524147074,50,0.0003,256,0.99,0.01,100000,184504,
-94.78876448,3.246145502,4.036167737,-0.009238611,367.8569993,0.75,51.64,0.378342373,400,0.0003,512,0.99,0.01,100000,200718,
-164.4231876,3.370917721,4.232224504,-0.015594694,835.0821655,0.75,51.39,0.258206756,400,0.0003,512,0.99,0.002,100000,201323,
-139.2730994,3.766166893,4.801584809,0.004106559,187.1566732,0.75,51.13,0.058213455,400,0.0003,256,0.99,0.01,100000,195811,
-105.0759088,3.894739291,4.608163192,-0.012980609,531.0432655,0.75,51.62,0.210284351,400,0.0003,512,0.99,0.01,100000,201626,
-151.3291038,4.086451871,4.855431417,-0.016196423,163.6761152,0.75,52.02,0.104154293,50,0.0003,512,0.99,0.01,100000,185414,
-614.4707095,6.730046661,8.024012908,-0.016616217,1514.278743,0.75,51.55,-0.124035564,50,0.0003,256,0.99,0.01,100000,183557,
-621.7648619,10.13879663,10.96928239,-0.016666667,0.333055556,0.75,51.49,,100,0.0003,256,0.95,0.01,100000,191709,
